# ASAS-SN SkyPatrol ID: 128849645138
# ATLAS-REFCAT2: 153851661138081215
# Gaia DR2: 763335402123160576
# TESS Input Catalog (TIC): 353970208
# Million Quasars Catalog (MILLIQUAS): MARK 421
# AAVSO International Variable Star Index: MRK 421
# Swift Master Catalog: MKN421
# GLADE HyperLEDA: UGC06132
# GLADE 2MASS Extended Source Catalog: 11042732+3812320


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456596.1237624,38.3009,0.1950,12.5018,0.0055,16.4875,2.43,V,G,bc
2456598.1121525,41.7388,0.2276,12.4084,0.0059,16.3194,1.76,V,G,bc
2456600.1093735,38.4926,0.1912,12.4963,0.0054,16.5088,2.31,V,G,bc
2456601.1082318,36.1981,0.1680,12.5631,0.0050,16.6490,1.92,V,G,bc
2456606.0987999,31.4561,0.1195,12.7155,0.0041,17.0188,2.36,V,G,bc
2456616.0325195,31.3108,0.1988,12.7205,0.0069,16.4665,2.35,V,G,bc
2456625.0084889,30.6501,0.0706,12.7437,0.0025,17.5898,1.46,V,G,bc
2456631.065821,35.2137,0.1349,12.5930,0.0042,16.8869,1.63,V,G,bc
2456632.0535318,38.0714,0.1622,12.5083,0.0046,16.6869,1.36,V,G,bc
2456633.0314118,36.2166,0.1498,12.5625,0.0045,16.7735,2.58,V,G,bc
2456633.9871582,34.7204,0.1349,12.6083,0.0042,16.8877,2.92,V,G,bc
2456637.9840377,40.4197,0.2000,12.4433,0.0054,16.4598,1.76,V,G,bc
2456638.9715848,41.1639,0.2146,12.4235,0.0057,16.3831,1.45,V,G,bc
2456641.0387627,33.9107,0.1540,12.6339,0.0049,16.7436,3.59,V,G,bc
2456652.0387491,37.7424,0.1686,12.5177,0.0049,16.6449,1.48,V,G,bc
2456653.1234073,38.5666,0.1705,12.4943,0.0048,16.6329,1.61,V,G,bc
2456675.911774,29.9662,0.1361,12.7682,0.0049,16.8778,1.99,V,G,bc
2456678.9765594,32.5422,0.1039,12.6787,0.0035,17.1712,1.75,V,G,bc
2456683.1025996,35.4010,0.1393,12.5872,0.0043,16.8521,2.47,V,G,bc
2456688.9775931,32.3739,0.1034,12.6843,0.0035,17.1764,2.63,V,G,bc
2456702.0364054,30.3383,0.1044,12.7548,0.0037,17.1660,1.43,V,G,bc
2456736.8782131,40.7046,0.1915,12.4357,0.0051,16.5070,1.50,V,G,bc
2456737.9060669,39.4078,0.1870,12.4708,0.0052,16.5329,1.46,V,B,bc
2456751.7974016,35.6447,0.1394,12.5798,0.0042,16.8521,1.82,V,G,bc
2456752.7742945,37.5535,0.1579,12.5232,0.0046,16.7162,1.41,V,G,bc
2456758.8002769,39.3208,0.1896,12.4732,0.0052,16.5180,2.75,V,G,bc
2456770.8193698,36.7603,0.1529,12.5463,0.0045,16.7512,2.61,V,G,bc
2456794.7932037,28.5912,0.0663,12.8192,0.0025,17.6586,1.56,V,G,bc
2456798.7962422,27.0008,0.1034,12.8813,0.0042,17.1761,1.51,V,G,bc
2456801.7870012,32.0441,0.0963,12.6954,0.0033,17.2534,1.46,V,G,bc
2456808.7670423,29.0754,0.0855,12.8010,0.0032,17.3822,1.81,V,G,bc
2456809.76151,28.2661,0.0747,12.8316,0.0029,17.5291,1.69,V,G,bc
2456816.7642257,23.9408,0.1443,13.0119,0.0065,16.8144,1.41,V,G,bc
2456818.7649985,23.4229,0.1573,13.0357,0.0073,16.7207,1.44,V,G,bc
2456819.7620762,23.5117,0.1877,13.0316,0.0087,16.5288,1.48,V,G,bc
2456822.7605994,23.6951,0.1625,13.0231,0.0075,16.6849,1.49,V,G,bc
2456825.7522423,24.3585,0.1908,12.9932,0.0085,16.5110,1.36,V,B,bc
2456828.7529922,23.2759,0.1596,13.0425,0.0075,16.7048,1.44,V,G,bc
2456831.7909517,23.8603,0.1402,13.0156,0.0064,16.8453,1.53,V,G,bc
2456961.1225028,47.5387,0.2351,12.2672,0.0054,16.2843,2.26,V,G,bc
2456962.1214811,43.1663,0.2121,12.3719,0.0053,16.3962,1.94,V,B,bc
2456967.109118,37.5477,0.1751,12.5233,0.0051,16.6041,1.56,V,G,bc
2456968.0996246,35.9924,0.1813,12.5693,0.0055,16.5662,1.77,V,G,bc
2456971.0739642,34.4231,0.1515,12.6177,0.0048,16.7615,1.78,V,G,bc
2456972.0975977,32.6046,0.1306,12.6766,0.0044,16.9221,1.71,V,G,bc
2456979.0963559,39.0944,0.1706,12.4795,0.0047,16.6325,1.44,V,G,bc
2456980.084873,37.6790,0.1648,12.5195,0.0048,16.6697,1.61,V,G,bc
2456981.0793558,36.2944,0.1524,12.5602,0.0046,16.7552,1.80,V,G,bc
2456983.0872552,39.2369,0.1744,12.4755,0.0048,16.6083,1.61,V,G,bc
2456984.0593814,41.9753,0.1988,12.4023,0.0051,16.4663,1.70,V,G,bc
2456985.056895,41.3668,0.1914,12.4182,0.0050,16.5073,1.62,V,G,bc
2456987.0598354,44.2815,0.2131,12.3442,0.0052,16.3911,1.60,V,G,bc
2456990.0533495,41.8637,0.1959,12.4052,0.0051,16.4821,1.66,V,B,bc
2456993.0725952,42.8683,0.2019,12.3794,0.0051,16.4495,1.62,V,G,bc
2456998.0175925,38.1672,0.1981,12.5056,0.0056,16.4702,1.72,V,B,bc
2457000.0442931,41.8228,0.2188,12.4062,0.0057,16.3621,1.62,V,G,bc
2457001.0370023,41.6868,0.2049,12.4098,0.0053,16.4337,1.51,V,G,bc
2457003.0591069,43.6786,0.2237,12.3591,0.0056,16.3382,1.44,V,G,bc
2457007.049203,38.8918,0.1831,12.4851,0.0051,16.5555,1.75,V,B,bc
2457012.002804,36.4840,0.1476,12.5545,0.0044,16.7898,1.48,V,G,bc
2457016.981998,41.0620,0.1889,12.4262,0.0050,16.5217,1.68,V,G,bc
2457020.9821882,39.4996,0.1749,12.4683,0.0048,16.6053,1.54,V,G,bc
2457023.946137,39.4178,0.1973,12.4706,0.0054,16.4743,1.81,V,G,bc
2457030.9466263,32.3199,0.1305,12.6861,0.0044,16.9230,1.45,V,G,bc
2457036.0041706,29.0381,0.1034,12.8024,0.0039,17.1765,1.36,V,G,bc
2457036.9946786,29.5561,0.0606,12.7832,0.0022,17.7569,1.35,V,G,bc
2457038.1134316,29.5388,0.0527,12.7838,0.0019,17.9081,1.36,V,G,bc
2457041.003796,29.0406,0.0633,12.8023,0.0024,17.7097,1.47,V,G,bc
2457042.004237,28.6226,0.0648,12.8180,0.0025,17.6838,1.40,V,G,bc
2457043.9839811,28.6015,0.0671,12.8188,0.0025,17.6456,1.39,V,G,bc
2457046.8984582,29.8877,0.0512,12.7711,0.0019,17.9388,1.40,V,G,bc
2457049.9814906,34.4440,0.1255,12.6170,0.0040,16.9655,1.41,V,G,bc
2457051.9804677,34.2304,0.1299,12.6238,0.0041,16.9280,1.42,V,G,bc
2457052.911659,34.5109,0.1354,12.6149,0.0043,16.8833,1.65,V,G,bc
2457053.8510745,34.7207,0.1612,12.6083,0.0050,16.6937,1.79,V,G,bc
2457062.087098,25.6743,0.1300,12.9360,0.0055,16.9272,1.44,V,G,bc
2457068.9584281,25.2187,0.1225,12.9555,0.0053,16.9922,1.52,V,G,bc
2457070.9507229,26.1033,0.1124,12.9180,0.0047,17.0854,1.47,V,G,bc
2457073.9813543,28.1720,0.0790,12.8352,0.0030,17.4679,1.39,V,G,bc
2457077.7954211,31.8032,0.1206,12.7036,0.0041,17.0091,1.46,V,G,bc
2457078.8097814,31.3589,0.0893,12.7189,0.0031,17.3352,1.50,V,G,bc
2457080.9257995,30.6012,0.0733,12.7454,0.0026,17.5497,1.42,V,G,bc
2457084.9205157,26.8674,0.1462,12.8867,0.0059,16.8002,1.46,V,G,bc
2457096.0170892,28.8324,0.0695,12.8101,0.0026,17.6072,1.45,V,G,bc
2457096.8342699,28.3799,0.0730,12.8273,0.0028,17.5536,1.42,V,G,bc
2457099.0042608,29.7689,0.0724,12.7754,0.0026,17.5634,1.35,V,G,bc
2457100.994493,30.3493,0.0678,12.7544,0.0024,17.6349,1.39,V,G,bc
2457101.7244584,30.5698,0.1035,12.7465,0.0037,17.1747,1.79,V,G,bc
2457102.7278981,30.3177,0.0900,12.7555,0.0032,17.3272,1.65,V,G,bc
2457103.8900955,30.0623,0.0526,12.7647,0.0019,17.9093,1.46,V,G,bc
2457106.7207057,32.6599,0.1165,12.6747,0.0039,17.0465,2.02,V,G,bc
2457109.9397126,32.0591,0.1212,12.6949,0.0041,17.0039,1.52,V,G,bc
2457110.8333553,31.8745,0.1084,12.7012,0.0037,17.1245,1.47,V,G,bc
2457112.9651742,33.4079,0.1322,12.6502,0.0043,16.9096,1.38,V,G,bc
2457113.7303247,33.2084,0.1704,12.6567,0.0056,16.6339,1.65,V,G,bc
2457116.7279876,35.2891,0.2142,12.5907,0.0066,16.3851,1.69,V,B,bc
2457118.9471532,35.8333,0.1706,12.5741,0.0052,16.6327,1.40,V,G,bc
2457122.8362531,33.3182,0.1280,12.6531,0.0042,16.9442,1.38,V,G,bc
2457125.8395044,29.9229,0.0684,12.7698,0.0025,17.6247,1.36,V,G,bc
2457128.8940101,30.6582,0.1002,12.7434,0.0036,17.2105,1.36,V,G,bc
2457130.8427814,30.3562,0.0697,12.7542,0.0025,17.6035,1.38,V,G,bc
2457133.8450351,31.9581,0.1032,12.6983,0.0035,17.1786,2.33,V,G,bc
2457135.7904182,32.4621,0.1008,12.6813,0.0034,17.2034,1.51,V,G,bc
2457138.7982961,38.6415,0.1772,12.4921,0.0050,16.5910,1.58,V,G,bc
2457147.8721334,35.2333,0.1619,12.5924,0.0050,16.6892,2.81,V,G,bc
2457149.8586523,35.7846,0.1778,12.5755,0.0054,16.5874,1.53,V,B,bc
2457150.7545491,33.6591,0.1167,12.6420,0.0038,17.0444,1.60,V,G,bc
2457156.8333448,32.3638,0.1017,12.6846,0.0034,17.1939,1.50,V,G,bc
2457161.7680996,32.6987,0.2193,12.6735,0.0073,16.3599,1.64,V,B,bc
2457163.76081,31.9875,0.0961,12.6973,0.0033,17.2554,1.64,V,G,bc
2457166.8192275,31.0975,0.0887,12.7280,0.0031,17.3426,1.53,V,G,bc
2457171.7994907,32.3589,0.1412,12.6848,0.0047,16.8379,1.51,V,G,bc
2457178.7722307,31.7788,0.0923,12.7044,0.0032,17.2991,1.74,V,G,bc
2457182.7577564,30.3865,0.0707,12.7531,0.0025,17.5885,1.58,V,G,bc
2457314.1408987,37.5011,0.1657,12.5247,0.0048,16.6641,1.39,V,G,bc
2457315.135747,36.4148,0.1551,12.5566,0.0046,16.7361,1.41,V,G,bc
2457318.1232896,38.2996,0.1781,12.5018,0.0051,16.5856,1.40,V,G,bc
2457322.1219775,38.7274,0.1873,12.4897,0.0053,16.5310,1.56,V,G,bc
2457325.1232279,39.0162,0.1952,12.4817,0.0054,16.4860,1.63,V,G,bc
2457331.1025618,35.9120,0.1456,12.5717,0.0044,16.8042,1.73,V,B,bc
2457335.0936269,32.6130,0.1034,12.6763,0.0034,17.1756,1.66,V,G,bc
2457343.0769989,32.4864,0.1110,12.6805,0.0037,17.0992,1.49,V,G,bc
2457354.056879,33.6627,0.1613,12.6419,0.0052,16.6932,1.44,V,G,bc
2457358.1377042,34.4295,0.1384,12.6175,0.0044,16.8593,1.42,V,G,bc
2457361.0924913,32.6579,0.1032,12.6748,0.0034,17.1780,1.36,V,G,bc
2457363.0702091,32.4545,0.0994,12.6816,0.0033,17.2189,1.43,V,G,bc
2457366.0138471,30.3505,0.0606,12.7544,0.0022,17.7557,1.54,V,G,bc
2457367.0260064,29.8141,0.0428,12.7737,0.0016,18.1332,2.47,V,G,bc
2457379.9876014,29.1023,0.1065,12.8000,0.0040,17.1442,1.51,V,G,bc
2457384.0002572,28.8326,0.1095,12.8101,0.0041,17.1141,1.57,V,G,bc
2457388.0473129,30.2345,0.0753,12.7585,0.0027,17.5206,1.38,V,G,bc
2457391.0790477,33.8401,0.1224,12.6362,0.0039,16.9932,1.42,V,G,bc
2457393.0003552,36.2577,0.1491,12.5613,0.0045,16.7786,1.39,V,G,bc
2457396.9222441,36.4192,0.1510,12.5565,0.0045,16.7652,1.41,V,G,bc
2457398.9573924,32.9371,0.1077,12.6656,0.0036,17.1317,1.41,V,G,bc
2457401.9626686,31.2725,0.0871,12.7219,0.0030,17.3622,1.52,V,G,bc
2457404.9069509,34.4862,0.1305,12.6157,0.0041,16.9235,1.57,V,G,bc
2457406.0474441,33.0507,0.1233,12.6618,0.0041,16.9853,1.49,V,G,bc
2457406.8962561,32.5822,0.1301,12.6773,0.0043,16.9270,1.41,V,G,bc
2457408.128565,32.1788,0.0966,12.6909,0.0033,17.2494,1.61,V,G,bc
2457408.8894552,32.5182,0.1335,12.6795,0.0045,16.8986,1.50,V,G,bc
2457410.8904223,37.4945,0.2153,12.5249,0.0062,16.3799,1.46,V,G,bc
2457412.9141947,34.6912,0.1557,12.6092,0.0049,16.7313,1.58,V,G,bc
2457416.9040339,33.5034,0.1258,12.6471,0.0041,16.9632,1.39,V,G,bc
2457419.0299732,35.9826,0.1417,12.5695,0.0043,16.8339,1.47,V,G,bc
2457421.0383077,33.7371,0.1145,12.6395,0.0037,17.0658,1.39,V,G,bc
2457422.9897584,29.6246,0.0380,12.7807,0.0014,18.2621,1.42,V,G,bc
2457425.0699058,33.6308,0.1164,12.6429,0.0038,17.0471,1.46,V,G,bc
2457428.9578098,39.9665,0.1773,12.4555,0.0048,16.5907,1.40,V,G,bc
2457436.8180497,39.9277,0.1865,12.4566,0.0051,16.5356,1.56,V,G,bc
2457438.8072398,41.2192,0.2035,12.4220,0.0054,16.4409,1.43,V,G,bc
2457440.9953218,42.2116,0.2232,12.3962,0.0057,16.3405,1.47,V,G,bc
2457445.8934118,39.0869,0.1802,12.4797,0.0050,16.5732,1.36,V,G,bc
2457447.9593847,37.6903,0.1631,12.5192,0.0047,16.6813,1.36,V,G,bc
2457448.8824886,35.8490,0.1397,12.5736,0.0042,16.8493,1.41,V,G,bc
2457451.9828958,34.1414,0.1200,12.6266,0.0038,17.0148,1.40,V,G,bc
2457453.9115048,34.9657,0.1320,12.6007,0.0041,16.9107,1.37,V,G,bc
2457457.9009639,39.5340,0.1739,12.4674,0.0048,16.6117,1.42,V,G,bc
2457461.7404602,41.5656,0.2105,12.4129,0.0055,16.4040,1.51,V,B,bc
2457462.8250776,39.2682,0.1756,12.4747,0.0049,16.6013,1.37,V,G,bc
2457465.9239158,34.6682,0.1407,12.6100,0.0044,16.8416,1.36,V,G,bc
2457467.9563706,30.7198,0.1134,12.7412,0.0040,17.0755,1.40,V,G,bc
2457472.930994,29.3839,0.1062,12.7895,0.0039,17.1469,1.39,V,G,bc
2457477.9662379,27.6237,0.0861,12.8566,0.0034,17.3754,1.45,V,G,bc
2457478.9401229,26.7898,0.0982,12.8899,0.0040,17.2321,1.37,V,G,bc
2457482.9256455,26.1289,0.1061,12.9170,0.0044,17.1483,1.49,V,G,bc
2457488.7581724,24.1280,0.1344,13.0035,0.0061,16.8911,1.46,V,G,bc
2457490.9162554,23.5500,0.1415,13.0298,0.0065,16.8358,1.42,V,G,bc
2457493.8054944,24.3292,0.1366,12.9945,0.0061,16.8734,1.67,V,G,bc
2457498.8830748,25.5919,0.1718,12.9395,0.0073,16.6247,1.47,V,G,bc
2457501.8959408,26.4928,0.1301,12.9020,0.0053,16.9264,1.56,V,G,bc
2457503.8767066,26.1489,0.1171,12.9161,0.0049,17.0410,1.42,V,G,bc
2457505.8585918,25.6548,0.1202,12.9369,0.0051,17.0124,1.65,V,G,bc
2457508.8637076,25.6832,0.1151,12.9357,0.0049,17.0600,1.57,V,G,bc
2457511.8720366,26.5600,0.1063,12.8992,0.0044,17.1460,1.44,V,G,bc
2457514.8109461,27.5961,0.0856,12.8577,0.0034,17.3810,1.47,V,G,bc
2457524.8163676,33.4661,0.1352,12.6483,0.0044,16.8851,2.37,V,G,bc
2457529.8093477,29.9018,0.1126,12.7705,0.0041,17.0839,1.57,V,G,bc
2457532.7569613,29.6741,0.0426,12.7788,0.0016,18.1397,1.71,V,G,bc
2457538.7893224,28.5042,0.0655,12.8225,0.0025,17.6714,1.43,V,G,bc
2457543.78296,29.3590,0.0553,12.7904,0.0020,17.8562,1.61,V,G,bc
2457548.754499,28.0979,0.0780,12.8381,0.0030,17.4821,1.73,V,G,bc
