# P_qpo=100,mean=100,P_drw=100,Q=80, sigma_noise=1, timerange=1000, length=200
0.000000000000000000e+00 1.033089346554592254e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.646704308366238045e+00 1.144071949256105825e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.672606552941092062e+00 1.121238420406197207e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.446071126606787161e+01 9.996049760913480497e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.892747387394862812e+01 9.213748298160957972e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.409555064922933099e+01 9.566891668778612257e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.911496946919403683e+01 8.189980664527053023e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.442515545258360277e+01 8.491039805350563086e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.944759462408170236e+01 8.490040006976690279e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.425516155226275572e+01 8.527073437876927642e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.944943353603542135e+01 8.570437035235300982e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.456665772294946493e+01 7.896537589517427591e+01 1.000000000000000000e+00 1.000000000000000000e+00
5.970427938525011768e+01 8.292091249824858323e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.478167530099960914e+01 9.022906800010558470e+01 1.000000000000000000e+00 1.000000000000000000e+00
6.980780906765768634e+01 8.909600085987862883e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.481162181351879781e+01 9.390134665169367167e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.982560925847656108e+01 7.604193154127622734e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.463947733771189519e+01 8.419168525726541930e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.957576822788043103e+01 8.333497838052180384e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.476627070150706800e+01 7.839116858044262415e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.988533276473155809e+01 9.086458178044875922e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.049553174441823558e+02 9.501792257436943601e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.101165169840623150e+02 1.024083124934420397e+02 1.000000000000000000e+00 1.000000000000000000e+00
1.151544769241189385e+02 9.650514204795007345e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.201278409775196394e+02 9.102086727955295942e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.250594818696984589e+02 7.843931131140277557e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.301124825609265372e+02 8.729122134180309445e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.352496428569268403e+02 9.491774374903292255e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.402186314874336404e+02 8.830345044243912866e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.451832378785472883e+02 9.111020475245517503e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.500765270668607059e+02 9.609741000536365618e+01 1.000000000000000000e+00 1.000000000000000000e+00
