# P_qpo=100,mean=100,P_drw=100,Q=80, sigma_noise=1, timerange=1000, length=200
0.000000000000000000e+00 8.441761588540330763e+01 1.000000000000000000e+00 1.000000000000000000e+00
4.646704308366238045e+00 8.417348462141819709e+01 1.000000000000000000e+00 1.000000000000000000e+00
9.672606552941092062e+00 9.024731329754035869e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.446071126606787161e+01 9.057026128703414258e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.892747387394862812e+01 8.702178370439197863e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.409555064922933099e+01 9.046827867846042182e+01 1.000000000000000000e+00 1.000000000000000000e+00
2.911496946919403683e+01 8.855286119646166298e+01 1.000000000000000000e+00 1.000000000000000000e+00
3.442515545258360277e+01 1.037764521579585306e+02 1.000000000000000000e+00 1.000000000000000000e+00
3.944759462408170236e+01 1.040952811393252802e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.425516155226275572e+01 1.075118244492101951e+02 1.000000000000000000e+00 1.000000000000000000e+00
4.944943353603542135e+01 1.049687627437765371e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.456665772294946493e+01 1.045388769974682361e+02 1.000000000000000000e+00 1.000000000000000000e+00
5.970427938525011768e+01 1.109720600827189685e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.478167530099960914e+01 1.073925179373857048e+02 1.000000000000000000e+00 1.000000000000000000e+00
6.980780906765768634e+01 9.653337542093706247e+01 1.000000000000000000e+00 1.000000000000000000e+00
7.481162181351879781e+01 1.021596402998820423e+02 1.000000000000000000e+00 1.000000000000000000e+00
7.982560925847656108e+01 1.015868851560130679e+02 1.000000000000000000e+00 1.000000000000000000e+00
8.463947733771189519e+01 9.803025629099329308e+01 1.000000000000000000e+00 1.000000000000000000e+00
8.957576822788043103e+01 1.067258476104638447e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.476627070150706800e+01 1.093131219122807778e+02 1.000000000000000000e+00 1.000000000000000000e+00
9.988533276473155809e+01 9.940845853326005965e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.049553174441823558e+02 9.101735212632206640e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.101165169840623150e+02 9.024046568642425825e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.151544769241189385e+02 9.378247187321284173e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.201278409775196394e+02 9.096699817457191273e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.250594818696984589e+02 9.229634507859643122e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.301124825609265372e+02 8.959191176198122264e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.352496428569268403e+02 8.797979916479562235e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.402186314874336404e+02 8.963630075311786527e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.451832378785472883e+02 9.809158564122679991e+01 1.000000000000000000e+00 1.000000000000000000e+00
1.500765270668607059e+02 1.109728737207758940e+02 1.000000000000000000e+00 1.000000000000000000e+00
